"ID_SEASON","DT_START","DT_END"
"1","2004-07-22","2005-12-08"
"2","2005-12-09","2007-12-18"
"3","2007-12-19","2009-11-11"
"4","2009-11-12","2010-07-30"
"5","2010-08-03","2011-04-08"
"6","2011-04-11","2011-10-14"
"7","2011-10-17","2012-04-13"
"8","2012-04-16","2012-10-12"
"9","2012-10-15","2013-05-17"
"10","2013-05-20","2014-01-24"
"11","2014-01-27","2014-09-05"
"12","2014-09-08","2015-05-01"
"13","2015-05-04","2015-11-06"
"14","2015-11-09","2016-05-13"
"15","2016-05-16","2016-11-18"
